keyword;score;category;source_ref
Spargel;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r55
Speiserübe;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r56
Spinat;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r57
Sprossenkohl, Rosenkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r13
Stangensellerie, Staudensellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r14
Staudensellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r15
Tomaten;2;Gemüse;SIGHI_FoodList_2024-08-29_p13_r16
Topinambur;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r17
Vogerlsalat;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r19
Weisskohl, Weisskabis, Weisskraut, Weißkohl,;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r20
Welschkohl, Welschkraut, Wirsing;1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r22
Wilde Rauke, Rucola;2;Gemüse;SIGHI_FoodList_2024-08-29_p13_r23
Wirsing, Wirz, Wirsingkohl, Welschkohl,;1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r24
Würzsellerie, Schnittsellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r26
Zichorie: Salatzichorie, Chicorée;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r27
Zucchini, Zucchetti;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r28
Zuckererbse, Zuckerschote;1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r29
Zwiebel: alle anderen, hier nicht als verträglich;1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r30
Zwiebel: Milde Zwiebeln der Cevennen;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r32
Zwiebel: Tropea-Zwiebel;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r34
Zwiebel: Weisse Zwiebel, Weiße Zwiebel;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r35
Ährige Minze (Mentha spicata);0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r37
Bärlauch (Allium ursinum);1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r38
Basilikum;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r39
Bockshornklee;2;Gemüse;SIGHI_FoodList_2024-08-29_p13_r40
Bohnenkraut (Satureja hortensis, Satureja montana);0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r41
Dill, Dillkraut, Dillfenchel;1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r42
Dorst, Dost, Gemeiner Dost, Dostenkraut, Oregano;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r43
Echter Dost (Origanum vulgare), Oregano;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r44
Echter Kerbel, Gartenkerbel (Anthriscus cerefolium);0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r45
Gartenkerbe, Echter Kerbel (Anthriscus cerefolium);0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r46
Grüne Minze (Mentha spicata);0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r47
Gurkenkraut, Dill (Anethum graveolens);1;Gemüse;SIGHI_FoodList_2024-08-29_p13_r48
Kerbel, Echter Kerbel, Gartenkerbel (Anthriscus;0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r49
Kleesorten (Trigonella- und Trifolium-Arten);2;Gemüse;SIGHI_FoodList_2024-08-29_p13_r51
Krause Minze (Mentha spicata);0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r52
Marokkanische Minze (Mentha spicata);0;Gemüse;SIGHI_FoodList_2024-08-29_p13_r53
Minze: Grüne Minze (Mentha spicata);0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r13
Müllerkraut, Oregano;0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r14
Nanaminze (Mentha spicata);0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r15
Oregano;0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r16
Petersilie;0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r17
Pfefferminze;0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r18
Rosmarin;0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r19
Salbei: Echte Salbei, Garten-Salbei, Küchensalbei;0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r20
Schabzigerklee;2;Gemüse;SIGHI_FoodList_2024-08-29_p14_r22
Schnittlauch;1;Gemüse;SIGHI_FoodList_2024-08-29_p14_r23
Speer-Minze (Mentha spicata, engl.: spearmint);0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r24
Wohlgemut, Oregano;0;Gemüse;SIGHI_FoodList_2024-08-29_p14_r25
Acerola, Acerolapulver, Acerolakirsche, Azerola,;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r27
Ananas;2;Früchte;SIGHI_FoodList_2024-08-29_p14_r31
Andenbeere, Andenkirsche (Physalis peruviana);0;Früchte;SIGHI_FoodList_2024-08-29_p14_r32
Apfel;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r33
Apfel: Golden Delicious;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r34
Apfelsine, Orange;3;Früchte;SIGHI_FoodList_2024-08-29_p14_r35
Aprikose;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r36
Aronia, Apfelbeeren, Filzige Apfelbeere (Aronia;?;Früchte;SIGHI_FoodList_2024-08-29_p14_r37
Babybanane;?;Früchte;SIGHI_FoodList_2024-08-29_p14_r41
Banane, Dessertbanane, Obstbanane;2;Früchte;SIGHI_FoodList_2024-08-29_p14_r42
Baumtomate (Solanum betaceum);?;Früchte;SIGHI_FoodList_2024-08-29_p14_r43
Birne;1;Früchte;SIGHI_FoodList_2024-08-29_p14_r44
Birne: Nashi-Birne;?;Früchte;SIGHI_FoodList_2024-08-29_p14_r45
Blaubeere (Vaccinium myrtillus);0;Früchte;SIGHI_FoodList_2024-08-29_p14_r46
Bocksdorn-Beeren, Goji-Beeren;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r47
Boysenbeere (Rubus ursinus × idaeus);?;Früchte;SIGHI_FoodList_2024-08-29_p14_r48
Brombeeren;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r49
Carambola, Karambole, Sternfrucht;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r50
Cassis;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r51
Chinesische Quitte, Kaki;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r52
Cranberry;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r53
Datteln getrocknet;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r54
Drachenfrucht, Pitaya, Pitahaya;0;Früchte;SIGHI_FoodList_2024-08-29_p14_r55
Dreilappige Papau (Asimina triloba, Indianerbanane);?;Früchte;SIGHI_FoodList_2024-08-29_p15_r13
Erdbeere;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r14
Feigen, frisch oder getrocknet;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r15
gelbe Granadilla, Passionsfrucht;?;Früchte;SIGHI_FoodList_2024-08-29_p15_r16
Goiaba, Guave, Psidium guajava;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r17
Goji-Beeren, Bocksdorn-Beeren;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r18
Granatapfel;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r19
Grapefruit;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r20
Grossfrüchtige Moosbeere, Großfrüchtige Moosbeere;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r21
Guave, Guava, Guayave, Guayaba;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r22
Hagebutte;1;Früchte;SIGHI_FoodList_2024-08-29_p15_r23
Heidelbeeren;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r24
Himbeeren;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r25
Holler, Schwarzer Holunder;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r26
Holunderbeeren, Schwarzer Holunder;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r27
Johannisbeere, rote;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r28
Jostabeeren, Jochelbeere, Joglbeere;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r29
Kakao, Kakaopulver (Schokolade etc.);2;Früchte;SIGHI_FoodList_2024-08-29_p15_r30
Kakaobutter;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r31
Kaki, Kakipflaume;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r32
Kaktusfeigen (Opuntia ficus-indica);0;Früchte;SIGHI_FoodList_2024-08-29_p15_r33
Kapstachelbeere (Physalis peruviana), Physalis;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r34
Karambole, Karambola, Sternfrucht;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r35
Kirschen, Süßkirschen;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r36
Kiwi;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r37
Kokosnuss, Kokosraspel, Kokosmilch, Kokoswasser;1;Früchte;SIGHI_FoodList_2024-08-29_p15_r38
Korinthen;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r39
Kranbeere (Vaccinium macrocarpon);0;Früchte;SIGHI_FoodList_2024-08-29_p15_r41
Kronsbeere, Preiselbeere (Vaccinium vitis-idaea);0;Früchte;SIGHI_FoodList_2024-08-29_p15_r42
Limette;3;Früchte;SIGHI_FoodList_2024-08-29_p15_r43
Limone;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r44
Litchi, Litschi;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r45
Loganbeere;?;Früchte;SIGHI_FoodList_2024-08-29_p15_r46
Mandarine;2;Früchte;SIGHI_FoodList_2024-08-29_p15_r47
Mango;1;Früchte;SIGHI_FoodList_2024-08-29_p15_r48
Maracuja (Passiflora edulis / flavicarpa),;?;Früchte;SIGHI_FoodList_2024-08-29_p15_r49
Marille;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r51
Maulbeere;0;Früchte;SIGHI_FoodList_2024-08-29_p15_r52
Melonen (außer Wassermelone);0;Früchte;SIGHI_FoodList_2024-08-29_p16_r13
Melonenbirne, Pepino (Solanum muricatum);0;Früchte;SIGHI_FoodList_2024-08-29_p16_r15
Nashi-Birne;?;Früchte;SIGHI_FoodList_2024-08-29_p16_r16
Nektarinen;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r17
Oemeli, Sauerkirsche;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r18
Orangen;3;Früchte;SIGHI_FoodList_2024-08-29_p16_r19
Orangenschale;3;Früchte;SIGHI_FoodList_2024-08-29_p16_r20
Papaya;2;Früchte;SIGHI_FoodList_2024-08-29_p16_r21
Passionsfrucht;?;Früchte;SIGHI_FoodList_2024-08-29_p16_r22
Paw Paw (Asimina triloba, Indianerbanane);?;Früchte;SIGHI_FoodList_2024-08-29_p16_r23
Pepino, Melonenbirne (Solanum muricatum);0;Früchte;SIGHI_FoodList_2024-08-29_p16_r24
Persimone, Kaki;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r25
Peruanische Blasenkirsche (Physalis peruviana);0;Früchte;SIGHI_FoodList_2024-08-29_p16_r26
Pfirsich;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r27
Pflaumen-Arten;1;Früchte;SIGHI_FoodList_2024-08-29_p16_r28
Physalis (Physalis peruviana), Kapstachelbeere;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r29
Pitaya, Pitahaya, Drachenfrucht;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r30
Preiselbeere;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r33
Purpurgranadilla, Passionsfrucht;?;Früchte;SIGHI_FoodList_2024-08-29_p16_r34
Quetsche, Zwetschge (Prunus domestica subsp.;1;Früchte;SIGHI_FoodList_2024-08-29_p16_r35
Quitten;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r37
Rhabarber;1;Früchte;SIGHI_FoodList_2024-08-29_p16_r38
Ribisel, rote;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r39
Rigatze, Jostabeere;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r40
Rosinen;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r41
Rote Johannisbeere, Rote Ribisel;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r43
Sanddorn;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r44
Sauerkirsche;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r45
Schattenmorelle, Sauerkirsche;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r46
Schmalblättrige Ölweide (Elaeagnus angustifolia);0;Früchte;SIGHI_FoodList_2024-08-29_p16_r47
Schwarze Johannisbeere;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r48
Schwarze Ribisel;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r49
Schwarzer Holunder, Holunderbeeren;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r50
Sharonfrucht, Kaki;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r51
Stachelbeeren;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r52
Sternfrucht, Karambole, Karambola;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r53
Sultaninen;0;Früchte;SIGHI_FoodList_2024-08-29_p16_r54
Süßkirschen, Kirschen;0;Früchte;SIGHI_FoodList_2024-08-29_p17_r13
Tamarillo;?;Früchte;SIGHI_FoodList_2024-08-29_p17_r14
Trauben, Weintrauben;0;Früchte;SIGHI_FoodList_2024-08-29_p17_r15
Wassermelone;1;Früchte;SIGHI_FoodList_2024-08-29_p17_r16
Weichselkirsche, Weichsel, Sauerkirsche;0;Früchte;SIGHI_FoodList_2024-08-29_p17_r17
Weinbeeren, getrocknet (=Rosinen);0;Früchte;SIGHI_FoodList_2024-08-29_p17_r18
Weintrauben;0;Früchte;SIGHI_FoodList_2024-08-29_p17_r20
Zitrone;2;Früchte;SIGHI_FoodList_2024-08-29_p17_r21
Zitronenschale;2;Früchte;SIGHI_FoodList_2024-08-29_p17_r22
Zitrusfrüchte;2;Früchte;SIGHI_FoodList_2024-08-29_p17_r23
Zuckerbanane, Babybanane;?;Früchte;SIGHI_FoodList_2024-08-29_p17_r24
Zwetschge, Zwetschke, Zwetsche (Prunus domestica;1;Früchte;SIGHI_FoodList_2024-08-29_p17_r25
Chia-Samen, Mexikanische Chia (Salvia hispanica);0;Früchte;SIGHI_FoodList_2024-08-29_p17_r28
Flohsamen, Flohsamenschalen;0;Früchte;SIGHI_FoodList_2024-08-29_p17_r29
Kürbiskerne;0;Früchte;SIGHI_FoodList_2024-08-29_p17_r31
Leinsamen;0;Früchte;SIGHI_FoodList_2024-08-29_p17_r33
Sesam;1;Früchte;SIGHI_FoodList_2024-08-29_p17_r34
Algen und Algenbestandteile;3;Früchte;SIGHI_FoodList_2024-08-29_p17_r37
Backhefe, Bäckerhefe (frisch / getrocknet);0;Früchte;SIGHI_FoodList_2024-08-29_p17_r38
Bierhefe (frisch / getrocknet);0;Früchte;SIGHI_FoodList_2024-08-29_p17_r42
Braunalgen, Algen;3;Früchte;SIGHI_FoodList_2024-08-29_p17_r46
Champignons;1;Früchte;SIGHI_FoodList_2024-08-29_p17_r47
Gemeiner Steinpilz (Boletus edulis);2;Früchte;SIGHI_FoodList_2024-08-29_p17_r48
Gest, Germ, Hefe (frisch / getrocknet);0;Früchte;SIGHI_FoodList_2024-08-29_p17_r49
Grünalgen, Algen;3;Früchte;SIGHI_FoodList_2024-08-29_p17_r53
Hefe (frisch / getrocknet);0;Früchte;SIGHI_FoodList_2024-08-29_p18_r13
Kombu-Algen;3;Früchte;SIGHI_FoodList_2024-08-29_p18_r17
Meeresalgen, Meeralgen;3;Früchte;SIGHI_FoodList_2024-08-29_p18_r18
Morcheln;2;Früchte;SIGHI_FoodList_2024-08-29_p18_r19
Nori-Algen;3;Früchte;SIGHI_FoodList_2024-08-29_p18_r20
Pilze, diverse Arten;2;Früchte;SIGHI_FoodList_2024-08-29_p18_r21
Reishi (Ganoderma lingzhi);0;Früchte;SIGHI_FoodList_2024-08-29_p18_r22
Rotalgen, Algen;3;Früchte;SIGHI_FoodList_2024-08-29_p18_r24
Schwammerl, Pilze;2;Früchte;SIGHI_FoodList_2024-08-29_p18_r25
Seetang, Algen;3;Früchte;SIGHI_FoodList_2024-08-29_p18_r26
Spirulina (Cyanobakterien: Arthrospira platensis, A.;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r27
Steinpilze;2;Früchte;SIGHI_FoodList_2024-08-29_p18_r29
Wakame-Algen;3;Früchte;SIGHI_FoodList_2024-08-29_p18_r30
Wasserkefir;1;Früchte;SIGHI_FoodList_2024-08-29_p18_r31
Agavendicksaft, Agavensirup;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r35
Ahornsirup;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r36
Birkenzucker, Xylit, Xylitol, E967;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r37
Caramel;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r38
Dextrose;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r39
E420, Sorbit, Sorbitol;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r41
E953, Isomalt;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r43
E967, Xylit, Xylitol, Birkenzucker;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r45
Fruchtzucker;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r46
Fructose;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r47
gebrannter Zucker;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r48
Glucose;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r49
Glucosesirup;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r51
Honig;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r53
Invertzucker, Invertose, Invertzuckersirup;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r54
Isomalt, E953;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r55
Karamell;0;Früchte;SIGHI_FoodList_2024-08-29_p18_r57
Kristallzucker;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r13
Künstliche Süssstoffe, künstliche Süßstoffe;1;Früchte;SIGHI_FoodList_2024-08-29_p19_r15
Lactose;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r16
Maltose;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r17
Malzextrakt;2;Früchte;SIGHI_FoodList_2024-08-29_p19_r18
Malzzucker, rein;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r19
Milchzucker;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r20
Palmzucker;?;Früchte;SIGHI_FoodList_2024-08-29_p19_r21
Rohrzucker;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r22
Rübenzucker;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r24
Saccharose;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r26
Sorbit, Sorbitol, Glucitol, Hexanhexol, E420;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r28
Stevia (Stevia-Blätter, Steviosid flüssig/pulverförmig);0;Früchte;SIGHI_FoodList_2024-08-29_p19_r30
Süssholz, Süßholz;2;Früchte;SIGHI_FoodList_2024-08-29_p19_r31
Traubenzucker;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r32
Xylit, Xylitol, Birkenzucker, E967;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r34
Zucker;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r35
Alkoholessig;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r38
Anis;?;Früchte;SIGHI_FoodList_2024-08-29_p19_r40
Bouillon;2;Früchte;SIGHI_FoodList_2024-08-29_p19_r41
Branntweinessig;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r44
Brühe, Brühwürfel/-pulver;2;Früchte;SIGHI_FoodList_2024-08-29_p19_r46
Cumin;2;Früchte;SIGHI_FoodList_2024-08-29_p19_r49
Curcuma;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r50
Curry;2;Früchte;SIGHI_FoodList_2024-08-29_p19_r51
Essig: Aceto Balsamico, Balsamessig;3;Früchte;SIGHI_FoodList_2024-08-29_p19_r52
Essig: Alkoholessig, Branntweinessig, Weingeistessig,;0;Früchte;SIGHI_FoodList_2024-08-29_p19_r53
Essig: Apfelessig;1;Früchte;SIGHI_FoodList_2024-08-29_p19_r55
Essig: Rotweinessig;3;Früchte;SIGHI_FoodList_2024-08-29_p19_r56
Essig: Weissweinessig;3;Früchte;SIGHI_FoodList_2024-08-29_p19_r57
Essigessenz;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r13
Fleischextrakt;2;Früchte;SIGHI_FoodList_2024-08-29_p20_r15
Gelbwurz (Curcuma longa);0;Früchte;SIGHI_FoodList_2024-08-29_p20_r16
Gerber-Sumach, Gerbersumach (Rhus coriaria),;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r17
Gewürznelken, Nelken;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r21
Hefeextrakt;2;Früchte;SIGHI_FoodList_2024-08-29_p20_r23
Ingwer;1;Früchte;SIGHI_FoodList_2024-08-29_p20_r24
Kardamom;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r25
Koriander, Echter Koriander, Gewürzkoriander,;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r28
Kreuzkümmel (Cuminum cyminum);2;Früchte;SIGHI_FoodList_2024-08-29_p20_r30
Kumin;2;Früchte;SIGHI_FoodList_2024-08-29_p20_r31
Kümmel: Echter Kümmel (Carum carvi);0;Früchte;SIGHI_FoodList_2024-08-29_p20_r32
Kurkuma;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r35
Lorbeerblätter, Echter Lorbeer (Laurus nobilis), Edler;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r36
Mohnsamen;1;Früchte;SIGHI_FoodList_2024-08-29_p20_r38
Muskatnuss;1;Früchte;SIGHI_FoodList_2024-08-29_p20_r39
Nelken, Gewürznelken;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r40
Paprikapulver, mild;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r42
Paprikapulver, scharf;2;Früchte;SIGHI_FoodList_2024-08-29_p20_r43
Pfeffer, schwarz;2;Früchte;SIGHI_FoodList_2024-08-29_p20_r44
Pfeffer, weiß;2;Früchte;SIGHI_FoodList_2024-08-29_p20_r45
Quendel, Thymian, Echter Thymian (Thymus;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r46
Schwarzkümmel (Nigella sativa);0;Früchte;SIGHI_FoodList_2024-08-29_p20_r48
Senf, Senfkörner, Senfsamenpulver;2;Früchte;SIGHI_FoodList_2024-08-29_p20_r49
Sojasauce;3;Früchte;SIGHI_FoodList_2024-08-29_p20_r50
Sternanis;?;Früchte;SIGHI_FoodList_2024-08-29_p20_r51
Sumach, Sumak: Gerber-Sumach (Rhus coriaria);0;Früchte;SIGHI_FoodList_2024-08-29_p20_r52
Thymian, Echter Thymian (Thymus vulgaris),;0;Früchte;SIGHI_FoodList_2024-08-29_p20_r56
Vanille, Vanilleschoten, Vanillepulver, Vanillezucker;1;Früchte;SIGHI_FoodList_2024-08-29_p21_r13
Vanilleextrakt;1;Früchte;SIGHI_FoodList_2024-08-29_p21_r15
Wacholderbeeren;0;Früchte;SIGHI_FoodList_2024-08-29_p21_r16
Weingeistessig;0;Früchte;SIGHI_FoodList_2024-08-29_p21_r17
Würze, Speisewürze, Suppenwürze (pflanzliches;2;Früchte;SIGHI_FoodList_2024-08-29_p21_r19
Zimt, Zimtstangen, Zimtpulver;0;Früchte;SIGHI_FoodList_2024-08-29_p21_r21
Heilquellen-Wasser mit viel;1;Getränke;SIGHI_FoodList_2024-08-29_p21_r24
Leitungswasser;0;Getränke;SIGHI_FoodList_2024-08-29_p21_r26
Mineralwasser ohne Kohlensäure;0;Getränke;SIGHI_FoodList_2024-08-29_p21_r27
Alkohol, rein (Ethanol);3;Getränke;SIGHI_FoodList_2024-08-29_p21_r29
Alkoholhaltige Getränke;3;Getränke;SIGHI_FoodList_2024-08-29_p21_r30
Bier;2;Getränke;SIGHI_FoodList_2024-08-29_p21_r31
Champagner;3;Getränke;SIGHI_FoodList_2024-08-29_p21_r32
Ethanol, Ethylalkohol;3;Getränke;SIGHI_FoodList_2024-08-29_p21_r33
Rhum;2;Getränke;SIGHI_FoodList_2024-08-29_p21_r34
Schnäpse, klar (farblos);2;Getränke;SIGHI_FoodList_2024-08-29_p21_r35
Schnäpse, nicht klar (nicht farblos);3;Getränke;SIGHI_FoodList_2024-08-29_p21_r36
Sekt;3;Getränke;SIGHI_FoodList_2024-08-29_p21_r37
Spirituosen, klar (farblos);2;Getränke;SIGHI_FoodList_2024-08-29_p21_r38
Spirituosen, nicht klar (nicht farblos);3;Getränke;SIGHI_FoodList_2024-08-29_p21_r39
Wein;3;Getränke;SIGHI_FoodList_2024-08-29_p21_r40
Wein, histaminfrei (<0.1 mg/l);1;Getränke;SIGHI_FoodList_2024-08-29_p21_r41
Wein: Rotwein;3;Getränke;SIGHI_FoodList_2024-08-29_p21_r43
Wein: Schilcherwein;2;Getränke;SIGHI_FoodList_2024-08-29_p21_r44
Wein: Weisswein, Weißwein;2;Getränke;SIGHI_FoodList_2024-08-29_p21_r45
Weinbrand, Brandy;2;Getränke;SIGHI_FoodList_2024-08-29_p21_r46
Anistee;0;Getränke;SIGHI_FoodList_2024-08-29_p21_r48
Brennnesseltee;1;Getränke;SIGHI_FoodList_2024-08-29_p21_r49
Eisenkraut-Tee;0;Getränke;SIGHI_FoodList_2024-08-29_p21_r50
Fencheltee;0;Getränke;SIGHI_FoodList_2024-08-29_p21_r51
Grüntee;1;Getränke;SIGHI_FoodList_2024-08-29_p21_r52
Kamillentee;0;Getränke;SIGHI_FoodList_2024-08-29_p21_r53
Kräuterteemischungen aus Heilkräutern, z.B.;1;Getränke;SIGHI_FoodList_2024-08-29_p21_r54
Kümmeltee, Echter Kümmel (Carum carvi);0;Getränke;SIGHI_FoodList_2024-08-29_p21_r56
Lindenblütentee;0;Getränke;SIGHI_FoodList_2024-08-29_p21_r57
Mate Tee;1;Getränke;SIGHI_FoodList_2024-08-29_p22_r13
Pfefferminztee;0;Getränke;SIGHI_FoodList_2024-08-29_p22_r14
Rooibostee;0;Getränke;SIGHI_FoodList_2024-08-29_p22_r15
Salbeitee;0;Getränke;SIGHI_FoodList_2024-08-29_p22_r18
Schwarztee;2;Getränke;SIGHI_FoodList_2024-08-29_p22_r19
Verveine-Tee;0;Getränke;SIGHI_FoodList_2024-08-29_p22_r20
Cranberry Nektar;0;Getränke;SIGHI_FoodList_2024-08-29_p22_r22
Orangensaft;2;Getränke;SIGHI_FoodList_2024-08-29_p22_r23
Zitronensaft, Zitronensaftkonzentrat;3;Getränke;SIGHI_FoodList_2024-08-29_p22_r24
Tomatensaft;2;Getränke;SIGHI_FoodList_2024-08-29_p22_r26
Coca-Cola;2;Getränke;SIGHI_FoodList_2024-08-29_p22_r28
Colagetränke;2;Getränke;SIGHI_FoodList_2024-08-29_p22_r29
Energy-Drinks;2;Getränke;SIGHI_FoodList_2024-08-29_p22_r30
Espresso;1;Getränke;SIGHI_FoodList_2024-08-29_p22_r31
Kaffee;1;Getränke;SIGHI_FoodList_2024-08-29_p22_r33
Hafer-Drink;1;Getränke;SIGHI_FoodList_2024-08-29_p22_r35
