category;name_de;search_en;search_alt_en
Gewuerze;Kreuzkümmel gemahlen;spices cumin seed;ground cumin
Gewuerze;Kümmel ganz;spices caraway seed;caraway seeds
Gewuerze;Koriander gemahlen;spices coriander seed;ground coriander
Gewuerze;Fenchelsamen;spices fennel seed;fennel seeds
Gewuerze;Senfsamen;spices mustard seed yellow;mustard seeds
Gewuerze;Anis;spices anise seed;anise seed
Gewuerze;Sternanis;spices star anise;star anise
Gewuerze;Kardamom;spices cardamom;cardamom pods
Gewuerze;Zimt gemahlen;spices cinnamon ground;cinnamon
Gewuerze;Zimtstange;spices cinnamon ground;cinnamon stick
Gewuerze;Nelken;spices cloves ground;whole cloves
Gewuerze;Muskatnuss;spices nutmeg ground;nutmeg
Gewuerze;Piment;spices allspice ground;allspice
Gewuerze;Wacholderbeeren;juniper;juniper berries
Gewuerze;Ingwer gemahlen;spices ginger ground;ground ginger
Gewuerze;Kurkuma gemahlen;spices turmeric ground;ground turmeric
Gewuerze;Safran;spices saffron;saffron threads
Gewuerze;Vanille Schote;vanilla bean;vanilla pod
Gewuerze;Sumach;sumac;sumac powder
Gewuerze;Za'atar;spices thyme dried;zaatar
Gewuerze;Italienische Kräuter;spices italian seasoning;italian seasoning
Gewuerze;Kräuter der Provence;spices italian seasoning;herbes de provence
Gewuerze;Bockshornklee;spices fenugreek seed;fenugreek
Gewuerze;Asafötida;asafoetida;hing
Gewuerze;Schwarzkümmel;spices nutmeg ground;black cumin
Gewuerze;Mohnpaste;seeds poppy seed;poppy paste
Gewuerze;Knoblauchpulver;spices garlic powder;garlic granulated
Gewuerze;Zwiebelpulver;spices onion powder;onion granulated
Sweeteners;Zucker weiß;sugars granulated;white sugar
Sweeteners;Zucker braun;sugars brown;brown sugar
Sweeteners;Puderzucker;sugars powdered;icing sugar
Sweeteners;Rohrzucker;sugars granulated;cane sugar
Sweeteners;Kokosblütenzucker;sugars granulated;coconut sugar
Sweeteners;Honig;honey;raw honey
Sweeteners;Ahornsirup;syrups maple;maple syrup
Sweeteners;Agavendicksaft;syrups agave;agave nectar
Sweeteners;Reissirup;syrups maple;rice syrup
Sweeteners;Stevia;stevia;stevia leaf
Sweeteners;Erythrit;sugars granulated;erythritol
Sweeteners;Xylit;sugars granulated;xylitol
Sweeteners;Melasse;molasses;blackstrap molasses
Sweeteners;Karamellsirup;syrups corn light;caramel syrup
Sweeteners;Zuckersirup;sugars granulated;simple syrup
Saucen;Essig Weißwein;vinegar distilled;white wine vinegar
Saucen;Essig Rotwein;vinegar red wine;red wine vinegar
Saucen;Apfelessig;vinegar cider;apple cider vinegar
Saucen;Balsamico;vinegar balsamic;balsamic vinegar
Saucen;Reisessig;vinegar rice;rice vinegar
Saucen;Sherryessig;vinegar red wine;sherry vinegar
Saucen;Sojasauce;soy sauce made from soy and wheat;soy sauce
Saucen;Tamari;soy sauce reduced sodium;tamari sauce
Saucen;Worcestershiresauce;sauce ready-to-serve worcestershire;worcestershire
Saucen;Fischsauce;fish sauce;nam pla
Saucen;Austernsauce;oyster sauce;oyster
Saucen;Ketchup;catsup;tomato ketchup
Saucen;Senf;mustard prepared yellow;yellow mustard
Saucen;Senf Dijon;mustard prepared dijon;dijon mustard
Saucen;Senf süß;mustard prepared honey;honey mustard
Saucen;Mayonnaise;salad dressing mayonnaise;mayo
Saucen;Mayonnaise leicht;salad dressing mayonnaise light;light mayo
Saucen;Sriracha;sauce ready-to-serve chili sriracha;sriracha sauce
Saucen;Tabasco;sauce hot;hot pepper sauce
Saucen;Pesto;sauce pesto;basil pesto
Saucen;Tomatenmark;tomato paste;tomato concentrate
Saucen;Passata;tomato puree;tomato puree
Saucen;Tomaten gehackt Dose;tomatoes red ripe canned;diced tomatoes
Saucen;Salsa;sauce salsa;tomato salsa
Saucen;Guacamole;avocados raw california;guacamole
Saucen;Hummus;hummus commercial;hummus
Saucen;Tzatziki;dip yogurt;tzatziki
Saucen;BBQ Sauce;sauce barbecue;barbecue sauce
Saucen;Teriyaki Sauce;teriyaki sauce;teriyaki
Saucen;Hoisin Sauce;sauce hoisin ready-to-serve;hoisin
Getraenke;Wasser;water;mineral water
Getraenke;Mineralwasser;water bottled non-carbonated;sparkling water
Getraenke;Kaffee schwarz;coffee brewed prepared with tap water;black coffee
Getraenke;Espresso;coffee brewed espresso restaurant-prepared;espresso shot
Getraenke;Tee schwarz;tea brewed prepared with tap water;black tea
Getraenke;Tee grün;tea green brewed regular;green tea
Getraenke;Tee Kamille;tea chamomile;chamomile tea
Getraenke;Tee Pfefferminz;tea herb other than chamomile;peppermint tea
Getraenke;Tee Rooibos;tea herb other than chamomile;rooibos
Getraenke;Apfelsaft;apple juice canned or bottled;apple juice
Getraenke;Orangensaft;orange juice raw fresh;orange juice
Getraenke;Grapefruitsaft;grapefruit juice white raw;grapefruit juice
Getraenke;Tomatensaft;tomato juice canned;tomato juice
Getraenke;Karottensaft;carrot juice canned;carrot juice
Getraenke;Traubensaft;grape juice canned or bottled;grape juice
Getraenke;Ananassaft;pineapple juice unsweetened;pineapple juice
Getraenke;Cranberrysaft;cranberry juice cocktail;cranberry juice
Getraenke;Limonade;lemonade powder prepared;lemonade
Getraenke;Sprite;carbonated beverage lemon-lime soda;lemon lime soda
Getraenke;Tonic Water;carbonated beverage tonic water;tonic
Getraenke;Eistee;tea instant decaffeinated unsweetened;iced tea
Getraenke;Kokoswasser;coconut water;coconut juice
Getraenke;Energy Drink;energy drink;energy drinks
Tofu;Tofu fest;tofu raw firm prepared with calcium sulfate;firm tofu
Tofu;Tofu seiden;tofu silken;silken tofu
Tofu;Tofu geräuchert;tofu hard prepared with nigari;smoked tofu
Tofu;Tempeh;tempeh;tempeh cooked
Tofu;Seitan;wheat gluten;seitan
Tofu;Sojagranulat;soy meal defatted raw;soy crumbles
Tofu;Sojaschnetzel;meat extender;soy protein chunks
Tofu;Soja Geschnetzeltes;soy protein isolate;soy strips
Tofu;Edamame;edamame frozen prepared;edamame
Tofu;Natto;natto;natto fermented
Tofu;Veggie Burger;veggie burger meatless;vegetarian burger
Tofu;Vegane Wurst;sausage meatless;veggie sausage
Tofu;Veganer Aufschnitt;luncheon meatless;vegan cold cuts
Tofu;Hafer Hack;meat substitute;oat mince
Tofu;Erbsenprotein;peas mature seeds raw;pea protein
Suesswaren;Zartbitterschokolade;chocolate dark 70-85% cacao;dark chocolate
Suesswaren;Vollmilchschokolade;chocolate milk;milk chocolate
Suesswaren;Weiße Schokolade;chocolate white;white chocolate
Suesswaren;Schokoladenstückchen;chocolate chips semisweet;chocolate chips
Suesswaren;Kakao Tropfen;chocolate dark 70-85% cacao;cocoa nibs
Suesswaren;Pralinen;chocolate truffles;truffle
Suesswaren;Schokoriegel;candies milk chocolate coated peanuts;chocolate bar
Suesswaren;Gummibärchen;candies gummy bears;gummi bears
Suesswaren;Lakritze;candies licorice;licorice
Suesswaren;Bonbons hart;candies hard;hard candy
Suesswaren;Karamellbonbons;candies caramels;caramels
Suesswaren;Marshmallows;candies marshmallows;marshmallow
Suesswaren;Nougat;candies nougat;nougat
Suesswaren;Marzipan;candies marzipan;marzipan
Suesswaren;Halva;halvah;halwa
Suesswaren;Türkischer Honig;candies sugar coated almonds;turkish delight
Suesswaren;Speiseeis Vanille;ice creams vanilla;vanilla ice cream
Suesswaren;Speiseeis Schokolade;ice creams chocolate;chocolate ice cream
Suesswaren;Speiseeis Erdbeere;ice creams strawberry;strawberry ice cream
Suesswaren;Sorbet;frozen novelties italian ice;fruit sorbet
Suesswaren;Joghurteis;yogurt frozen vanilla soft-serve;frozen yogurt
Suesswaren;Pudding Vanille;puddings vanilla ready-to-eat;vanilla pudding
Suesswaren;Pudding Schokolade;puddings chocolate ready-to-eat;chocolate pudding
Suesswaren;Kuchen;cake yellow commercially prepared;sponge cake
Suesswaren;Kekse;cookies butter commercially prepared;butter cookies
Alkohol;Rotwein trocken;alcoholic beverage wine table red;red wine
Alkohol;Weißwein trocken;alcoholic beverage wine table white;white wine
Alkohol;Sherry;alcoholic beverage wine cooking;sherry
Alkohol;Bier hell;alcoholic beverage beer regular all;lager beer
Alkohol;Rum;alcoholic beverage distilled rum 80 proof;dark rum
Alkohol;Wodka;alcoholic beverage distilled vodka 80 proof;vodka
Alkohol;Whisky;alcoholic beverage distilled whiskey 86 proof;whiskey
