sighi_idx;sighi_keyword;sighi_score;sighi_category;sighi_source_ref;candidates_top5
202;Braunkohl, Grünkohl, Krauskohl, Federkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r28;"323505|Grünkohl, roh|Kale, raw ;; 168421|Grünkohl, roh|Kale, raw ;; 2346407|Kohl, grün, roh|Cabbage, green, raw ;; 169389|Blumenkohl, grün, roh|Cauliflower, green, raw ;; 169239|Grünkohl, gefroren, unvorbereitet|Kale, frozen, unprepared"
203;Brennnessel;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r29;169819|Brennnesseln, blanchiert (Indianer der nördlichen Prärie)|Stinging Nettles, blanched (Northern Plains Indians)
204;Broccoli, Brokkoli;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r30;"170379|Brokkoli, roh|Broccoli, raw ;; 170381|Brokkoli-Rab, roh|Broccoli raab, raw ;; 170382|Brokkoli-Rab, gekocht|Broccoli raab, cooked ;; 169329|Brokkoli, Blätter, roh|Broccoli, leaves, raw ;; 169331|Brokkoli, Stängel, roh|Broccoli, stalks, raw"
205;Brüsseler Kohl, Rosenkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r31;"2685575|Rosenkohl, roh|Brussels sprouts, raw ;; 170383|Rosenkohl, roh|Brussels sprouts, raw ;; 169972|Rosenkohl, gefroren, nicht zubereitet|Brussels sprouts, frozen, unprepared ;; 168513|Rosenkohl, gekocht, gekocht, abgetropft, mit Salz|Brussels sprouts, cooked, boiled, drained, with salt ;; 169971|Rosenkohl, gegart, gekocht, abgetropft, ohne Salz|Brussels sprouts, cooked, boiled, drained, without salt"
206;Buschbohnen, Grüne Bohnen;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r32;"2611238|BLAUE SEE GESCHNITTENE GRÜNE BOHNEN|BLUE LAKE CUT GREEN BEANS ;; 172272|Babynahrung, Gemüse, grüne Bohnen, Junior|Babyfood, vegetables, green beans, junior ;; 172271|Babynahrung, Gemüse, grüne Bohnen, püriert|Babyfood, vegetables, green beans, strained ;; 172273|Babynahrung, grüne Bohnen, Würfel, Kleinkind|Babyfood, green beans, dices, toddler ;; 173504|Babynahrung, Gemüse, grüne Bohnen und Kartoffeln|Babyfood, vegetable, green beans and potatoes"
207;Chayote;?;Gemüse;SIGHI_FoodList_2024-08-29_p10_r33;"170402|Chayote, Früchte, roh|Chayote, fruit, raw ;; 169344|Chayote, Früchte, gekocht, gekocht, abgetropft, mit Salz|Chayote, fruit, cooked, boiled, drained, with salt ;; 170403|Chayote, Früchte, gekocht, gekocht, abgetropft, ohne Salz|Chayote, fruit, cooked, boiled, drained, without salt"
208;Chicorée (Cichorium intybus);0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r34;"169992|Chicorée-Gemüse, roh|Chicory greens, raw ;; 169993|Chicorée-Wurzeln, roh|Chicory roots, raw ;; 170404|Chicoree, Chicorée, roh|Chicory, witloof, raw"
209;Chilisauce, scharf, fermentiert;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r35;"171186|Soße, scharfe Chilis, Sriracha|Sauce, hot chile, sriracha ;; 171188|Soße, scharfe Chilis, Sriracha, TUONG OT SRIRACHA|Sauce, hot chile, sriracha, TUONG OT SRIRACHA ;; 171604|Soße, Paprika, scharf, Chili, reif, rot, in Dosen|Sauce, peppers, hot, chili, mature red, canned ;; 171605|Soße, Chili, Paprika, scharf, unreif grün, in Dosen|Sauce, chili, peppers, hot, immature green, canned ;; 171187|Soße, scharfe Chilis, Sriracha, CHA! VON TEXAS PETE|Sauce, hot chile, sriracha, CHA! BY TEXAS PETE"
210;Chilischoten, scharf, frisch;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r36;"173475|Minze, frisch|Spearmint, fresh ;; 173470|Thymian, frisch|Thyme, fresh ;; 173473|Rosmarin, frisch|Rosemary, fresh ;; 172232|Basilikum, frisch|Basil, fresh ;; 172233|Dillkraut, frisch|Dill weed, fresh"
211;Chinakohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r37;"169975|Kohl, roh|Cabbage, raw ;; 170392|Kohl, Kimchi|Cabbage, kimchi ;; 323505|Grünkohl, roh|Kale, raw ;; 168421|Grünkohl, roh|Kale, raw ;; 168424|Kohlrabi, roh|Kohlrabi, raw"
212;Chinesischer Senfkohl, Chinesischer Blätterkohl, Pak;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r38;"170390|Kohl, chinesisch (pak-choi), roh|Cabbage, chinese (pak-choi), raw ;; 169397|Essiggurken, Chowchow, mit Blumenkohl-Zwiebel-Senf, süß|Pickles, chowchow, with cauliflower onion mustard, sweet ;; 168517|Kohl, chinesisch (pak-choi), gekocht, abgetropft, mit Salz|Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt ;; 170391|Kohl, chinesisch (Pak-Choi), gekocht, abgetropft, ohne Salz|Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt ;; 172337|Öl, Senf|Oil, mustard"
213;Cornichons, eingelegt;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r40;"169892|Aubergine, eingelegt|Eggplant, pickled ;; 169766|Paprika, scharf eingelegt, in Dosen|Peppers, hot pickled, canned ;; 169890|Kohl, japanische Art, frisch, eingelegt|Cabbage, japanese style, fresh, pickled ;; 169889|Radieschen, hawaiianische Art, eingelegt|Radishes, hawaiian style, pickled ;; 169157|Schweinefleisch, eingelegte Schweinshaxen|Pork, pickled pork hocks"
214;Eierfrucht, Eierpflanze, Aubergine;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r43;"171258|Eierlikör|Eggnog ;; 167953|Fruchtsirup|Fruit syrup ;; 2685577|Aubergine, roh|Eggplant, raw ;; 169228|Aubergine, roh|Eggplant, raw ;; 171714|Brotfrucht, roh|Breadfruit, raw"
215;Eisbergsalat;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r44;169248|Salat, Eisbergsalat (einschließlich knackiger Sorten), roh|Lettuce, iceberg (includes crisphead types), raw
216;Endiviensalat, Endivie (Cichorium endivia);0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r45;168412|Endivie, roh|Endive, raw
217;Erbsen: Gartenerbsen;1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r46;"170419|Erbsen, grün, roh|Peas, green, raw ;; 174288|Kichererbsenmehl (Besan)|Chickpea flour (besan) ;; 170010|Erbsen, genießbare Schoten, roh|Peas, edible-podded, raw ;; 170025|Taubenerbsen, unreife Samen, roh|Pigeonpeas, immature seeds, raw ;; 170422|Erbsen, reife Samen, gekeimt, roh|Peas, mature seeds, sprouted, raw"
218;Essiggemüse;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r47;
219;Essiggurken, eingelegt;2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r50;"169892|Aubergine, eingelegt|Eggplant, pickled ;; 169766|Paprika, scharf eingelegt, in Dosen|Peppers, hot pickled, canned ;; 169890|Kohl, japanische Art, frisch, eingelegt|Cabbage, japanese style, fresh, pickled ;; 169889|Radieschen, hawaiianische Art, eingelegt|Radishes, hawaiian style, pickled ;; 169157|Schweinefleisch, eingelegte Schweinshaxen|Pork, pickled pork hocks"
220;Favabohne (Vicia faba);2;Gemüse;SIGHI_FoodList_2024-08-29_p10_r53;"168574|Bohnen, Favabohnen, in Hülsen, roh|Beans, fava, in pod, raw ;; 175205|Puffbohnen (Favabohnen), reife Samen, roh|Broadbeans (fava beans), mature seeds, raw ;; 173754|Puffbohnen (Favabohnen), reife Samen, in Dosen|Broadbeans (fava beans), mature seeds, canned ;; 173753|Puffbohnen (Favabohnen), reife Samen, gekocht, ohne Salz|Broadbeans (fava beans), mature seeds, cooked, boiled, without salt ;; 173798|Puffbohnen (Favabohnen), reife Kerne, gekocht, gekocht, mit Salz|Broadbeans (fava beans), mature seeds, cooked, boiled, with salt"
221;Feldsalat;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r54;
222;Fenchel;0;Gemüse;SIGHI_FoodList_2024-08-29_p10_r55;"2747655|Fenchel, Zwiebel, roh|Fennel, bulb, raw ;; 169385|Fenchel, Zwiebel, roh|Fennel, bulb, raw ;; 171323|Gewürze, Fenchelsamen|Spices, fennel seed"
223;Fisolen, Buschbohne (Phaseolus vulgaris var. nanus);1;Gemüse;SIGHI_FoodList_2024-08-29_p10_r56;"169124|Ananas, roh, alle Sorten|Pineapple, raw, all varieties ;; 168194|Ananas, roh, Sorte extra süß|Pineapple, raw, extra sweet variety ;; 169898|Joghurt, Fruchtsorte, fettfrei|Yogurt, fruit variety, nonfat ;; 169097|Orangen, roh, alle Handelssorten|Oranges, raw, all commercial varieties ;; 170487|Kürbis, Sommer, alle Sorten, roh|Squash, summer, all varieties, raw"
224;Gartenerbsen (Pisum sativum = Lathyrus oleraceus);1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r13;
225;Gartenkresse, Garten-Kresse (Lepidium sativum);?;Gemüse;SIGHI_FoodList_2024-08-29_p11_r14;"168407|Kresse, Garten, roh|Cress, garden, raw ;; 169350|Kresse, Garten, gekocht, gekocht, abgetropft, mit Salz|Cress, garden, cooked, boiled, drained, with salt ;; 168408|Kresse, Garten, gekocht, gekocht, abgetropft, ohne Salz|Cress, garden, cooked, boiled, drained, without salt ;; 170068|Brunnenkresse, roh|Watercress, raw ;; 172284|Babynahrung, Gemüse, Gartengemüse, püriert|Babyfood, vegetables, garden vegetable, strained"
226;Garten-Senfrauke, Rucola;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r15;"169387|Rucola, roh|Arugula, raw ;; 2710822|Rucola, Baby, roh|Arugula, baby, raw ;; 168407|Kresse, Garten, roh|Cress, garden, raw ;; 172284|Babynahrung, Gemüse, Gartengemüse, püriert|Babyfood, vegetables, garden vegetable, strained ;; 169852|OLIVENGARTEN, Spaghetti mit Pomodoro-Sauce|OLIVE GARDEN, spaghetti with pomodoro sauce"
227;Gemüse-Eibisch, Okra;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r16;"169260|Okra, roh|Okra, raw ;; 169992|Chicorée-Gemüse, roh|Chicory greens, raw ;; 170972|Babynahrung, Kekse, Gemüse|Babyfood, crackers, vegetable ;; 171180|Suppe, SWANSON, Gemüsebrühe|Soup, SWANSON, vegetable broth ;; 169078|Käse, Hüttenkäse, mit Gemüse|Cheese, cottage, with vegetables"
228;Gewürzgurken, eingelegt;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r17;"169892|Aubergine, eingelegt|Eggplant, pickled ;; 168560|Gewürzgurken, Hot Dog|Pickle relish, hot dog ;; 168561|Gewürzgurken-Relish, süß|Pickle relish, sweet ;; 169386|Gewürzgurken-Relish, Hamburger|Pickle relish, hamburger ;; 169766|Paprika, scharf eingelegt, in Dosen|Peppers, hot pickled, canned"
229;Grünkohl, Braunkohl, Krauskohl, Federkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r20;"323505|Grünkohl, roh|Kale, raw ;; 168421|Grünkohl, roh|Kale, raw ;; 2346407|Kohl, grün, roh|Cabbage, green, raw ;; 169389|Blumenkohl, grün, roh|Cauliflower, green, raw ;; 169239|Grünkohl, gefroren, unvorbereitet|Kale, frozen, unprepared"
230;Gurken: Gartengurke, Salatgurke, Kukumer;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r21;"169379|Gurken, sauer|Pickles, cucumber, sour ;; 168560|Gewürzgurken, Hot Dog|Pickle relish, hot dog ;; 168561|Gewürzgurken-Relish, süß|Pickle relish, sweet ;; 169386|Gewürzgurken-Relish, Hamburger|Pickle relish, hamburger ;; 168562|Pickles, Gurken, sauer, natriumarm|Pickles, cucumber, sour, low sodium"
231;Herbstrübe;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r22;
232;Hülsenfrüchte (Soja, Bohnen, Erbsen, Linsen, ...);2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r23;"169083|Sojabohnen, Quark|Soybean, curd cheese ;; 169282|Sojabohnen, grün, roh|Soybeans, green, raw ;; 174270|Sojabohnen, reife Samen, roh|Soybeans, mature seeds, raw ;; 168574|Bohnen, Favabohnen, in Hülsen, roh|Beans, fava, in pod, raw ;; 171411|Öl, Sojabohnen, Salat oder zum Kochen|Oil, soybean, salad or cooking"
233;Kaiserschote;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r24;
234;Kappes, Kohl, Kraut, Weißkohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r25;"2603373|KOHLENHYDRATARMER WEISSMEHL-WRAP NACH TRADITIONELLER ART|LOW CARB TRADITIONAL STYLE WHITE FLOUR WRAP ;; 169975|Kohl, roh|Cabbage, raw ;; 170392|Kohl, Kimchi|Cabbage, kimchi ;; 323505|Grünkohl, roh|Kale, raw ;; 168421|Grünkohl, roh|Kale, raw"
235;Karfiol, Blumenkohl;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r26;"2685573|Blumenkohl, roh|Cauliflower, raw ;; 169986|Blumenkohl, roh|Cauliflower, raw ;; 169389|Blumenkohl, grün, roh|Cauliflower, green, raw ;; 169391|Blumenkohl, grün, gekocht, mit Salz|Cauliflower, green, cooked, with salt ;; 170398|Blumenkohl, gefroren, nicht zubereitet|Cauliflower, frozen, unprepared"
236;Karotte;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r27;"170393|Karotten, roh|Carrots, raw ;; 2258587|Karotten, Baby, roh|Carrots, baby, raw ;; 170500|Karotte, dehydriert|Carrot, dehydrated ;; 170491|Karottensaft, in Dosen|Carrot juice, canned ;; 169871|Babynahrung, Karotten, Kleinkind|Babyfood, carrots, toddler"
237;Kefen;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r28;
238;Kelp (große Braunalgen, Seetang, Blatttang,;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r29;"168457|Seetang, Seetang, roh|Seaweed, kelp, raw ;; 169280|Seetang, Agar, roh|Seaweed, agar, raw ;; 170496|Seetang, Wakame, roh|Seaweed, wakame, raw ;; 168458|Seetang, Seegras, roh|Seaweed, laver, raw ;; 168456|Seetang, Irischmoos, roh|Seaweed, irishmoss, raw"
239;Kichererbse;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r31;"174288|Kichererbsenmehl (Besan)|Chickpea flour (besan) ;; 171182|SMART SOUP, Marokkanische Kichererbse|SMART SOUP, Moroccan Chick Pea ;; 2612374|BIO BENGALISCHE KICHERERBSEN CHANA DAL GETEILT|ORGANIC BENGAL GRAM SPLIT CHANA DAL ;; 172436|Taubenerbsen (rote Kichererbsen), reife Samen, roh|Pigeon peas (red gram), mature seeds, raw ;; 173756|Kichererbsen (Kichererbsen, Bengal-Gram), reife Samen, roh|Chickpeas (garbanzo beans, bengal gram), mature seeds, raw"
240;Kiefelerbse;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r32;
241;Knoblauch;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r33;"1104647|Knoblauch, roh|Garlic, raw ;; 169230|Knoblauch, roh|Garlic, raw ;; 167939|Knoblauchbrot, gefroren|Garlic bread, frozen ;; 171325|Gewürze, Knoblauchpulver|Spices, garlic powder ;; 393839|""VAMPIRJÄGERIN"" KNOBLAUCH-CHEDDAR|""VAMPIRE SLAYER"" GARLIC CHEDDAR"
242;Knollensellerie;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r34;"170400|Knollensellerie, roh|Celeriac, raw ;; 169341|Knollensellerie, gekocht, abgetropft, mit Salz|Celeriac, cooked, boiled, drained, with salt ;; 169987|Knollensellerie, gegart, gekocht, abgetropft, ohne Salz|Celeriac, cooked, boiled, drained, without salt"
243;Kohlrabi;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r35;"168424|Kohlrabi, roh|Kohlrabi, raw ;; 170061|Kohlrabi, roh|Turnip greens, raw ;; 170468|Kohlrabi, gefroren, unzubereitet|Turnip greens, frozen, unprepared ;; 168119|Kohlrabi, in Dosen, ohne Salzzusatz|Turnip greens, canned, no salt added ;; 170467|Kohlrabi, Konserven, fest und flüssig|Turnip greens, canned, solids and liquids"
244;Kohlsorten (außer Rosenkohl, Kohlrabi);0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r36;"168424|Kohlrabi, roh|Kohlrabi, raw ;; 170061|Kohlrabi, roh|Turnip greens, raw ;; 2685575|Rosenkohl, roh|Brussels sprouts, raw ;; 170383|Rosenkohl, roh|Brussels sprouts, raw ;; 170468|Kohlrabi, gefroren, unzubereitet|Turnip greens, frozen, unprepared"
245;Kohlsprossen, Rosenkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r37;"2685575|Rosenkohl, roh|Brussels sprouts, raw ;; 170383|Rosenkohl, roh|Brussels sprouts, raw ;; 169972|Rosenkohl, gefroren, nicht zubereitet|Brussels sprouts, frozen, unprepared ;; 168513|Rosenkohl, gekocht, gekocht, abgetropft, mit Salz|Brussels sprouts, cooked, boiled, drained, with salt ;; 169971|Rosenkohl, gegart, gekocht, abgetropft, ohne Salz|Brussels sprouts, cooked, boiled, drained, without salt"
246;Krauskohl, Grünkohl, Braunkohl, Federkohl;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r38;"323505|Grünkohl, roh|Kale, raw ;; 168421|Grünkohl, roh|Kale, raw ;; 2346407|Kohl, grün, roh|Cabbage, green, raw ;; 169389|Blumenkohl, grün, roh|Cauliflower, green, raw ;; 169239|Grünkohl, gefroren, unvorbereitet|Kale, frozen, unprepared"
247;Krautstiele (Beta vulgaris subsp. vulgaris);1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r39;
248;Kren, Meerrettich;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r40;"171833|Sauce, Meerrettich|Sauce, horseradish ;; 173472|Meerrettich, zubereitet|Horseradish, prepared"
249;Kresse: Gartenkresse (Lepidium sativum);?;Gemüse;SIGHI_FoodList_2024-08-29_p11_r41;"170068|Brunnenkresse, roh|Watercress, raw ;; 168407|Kresse, Garten, roh|Cress, garden, raw ;; 169350|Kresse, Garten, gekocht, gekocht, abgetropft, mit Salz|Cress, garden, cooked, boiled, drained, with salt ;; 168408|Kresse, Garten, gekocht, gekocht, abgetropft, ohne Salz|Cress, garden, cooked, boiled, drained, without salt"
250;Kürbisse, div. Sorten;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r42;"168412|Endivie, roh|Endive, raw ;; 169124|Ananas, roh, alle Sorten|Pineapple, raw, all varieties ;; 169097|Orangen, roh, alle Handelssorten|Oranges, raw, all commercial varieties ;; 170487|Kürbis, Sommer, alle Sorten, roh|Squash, summer, all varieties, raw ;; 170489|Kürbis, Winter, alle Sorten, roh|Squash, winter, all varieties, raw"
251;Lauch;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r43;"1104647|Knoblauch, roh|Garlic, raw ;; 169230|Knoblauch, roh|Garlic, raw ;; 169994|Schnittlauch, roh|Chives, raw ;; 167939|Knoblauchbrot, gefroren|Garlic bread, frozen ;; 171325|Gewürze, Knoblauchpulver|Spices, garlic powder"
252;Linsen;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r44;"172420|Linsen, roh|Lentils, raw ;; 2644283|Linsen, trocken|Lentils, dry ;; 168427|Linsen, gekeimt, roh|Lentils, sprouted, raw ;; 174284|Linsen, rosa oder rot, roh|Lentils, pink or red, raw ;; 171577|SMART SOUP, Französische Linsen|SMART SOUP, French Lentil"
253;Mangold;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r45;"2685574|Mangold, roh|Collards, raw ;; 170406|Mangold, roh|Collards, raw ;; 169991|Mangold, schweizerisch, roh|Chard, swiss, raw ;; 170408|Mangold, gefroren, gehackt, nicht zubereitet|Collards, frozen, chopped, unprepared ;; 170376|Mangold, gekocht, gekocht, abgetropft, ohne Salz|Beet greens, cooked, boiled, drained, without salt"
254;Meerrettich;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r46;"171833|Sauce, Meerrettich|Sauce, horseradish ;; 173472|Meerrettich, zubereitet|Horseradish, prepared"
255;Melanzani, Melanzana, Aubergine;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r47;"2685577|Aubergine, roh|Eggplant, raw ;; 169228|Aubergine, roh|Eggplant, raw ;; 169892|Aubergine, eingelegt|Eggplant, pickled ;; 169352|Auberginen, gekocht, abgetropft, mit Salz|Eggplant, cooked, boiled, drained, with salt ;; 1959092|""""ALLA NORMA"""" MIT AUBERGINEN UND RICOTTA SALATA|""""ALLA NORMA"""" WITH EGGPLANT & RICOTTA SALATA"
256;Möhre, Mohrrübe;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r48;"2258586|Möhren, reif, roh|Carrots, mature, raw ;; 168568|Möhren, Baby, roh|Carrots, baby, raw ;; 169339|Möhren, gekocht, abgetropft, mit Salz|Carrots, cooked, boiled, drained, with salt ;; 170394|Möhren, gekocht, gekocht, abgetropft, ohne Salz|Carrots, cooked, boiled, drained, without salt ;; 168519|Möhren, gefroren, gekocht, abgetropft, mit Salz|Carrots, frozen, cooked, boiled, drained, with salt"
257;Mungbohnen, Mungobohnen (-keimlinge/-sprossen);?;Gemüse;SIGHI_FoodList_2024-08-29_p11_r49;"168489|Taro-Sprossen, roh|Taro shoots, raw ;; 169210|Bambussprossen, roh|Bamboo shoots, raw ;; 174256|Mungobohnen, reife Samen, roh|Mung beans, mature seeds, raw ;; 174259|Mungobohnen, reife Samen, roh|Mungo beans, mature seeds, raw ;; 170432|Stachelbeersprossen, (poke), roh|Pokeberry shoots, (poke), raw"
258;Nüsslisalat, Nüssler;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r51;
259;Okra, Gemüse-Eibisch;1;Gemüse;SIGHI_FoodList_2024-08-29_p11_r52;"169260|Okra, roh|Okra, raw ;; 169992|Chicorée-Gemüse, roh|Chicory greens, raw ;; 170972|Babynahrung, Kekse, Gemüse|Babyfood, crackers, vegetable ;; 171180|Suppe, SWANSON, Gemüsebrühe|Soup, SWANSON, vegetable broth ;; 169078|Käse, Hüttenkäse, mit Gemüse|Cheese, cottage, with vegetables"
260;Oliven;2;Gemüse;SIGHI_FoodList_2024-08-29_p11_r53;"172926|Olivenbrot, Schweinefleisch|Olive loaf, pork ;; 167737|Öl, Mais-, Erdnuss- und Olivenöl|Oil, corn, peanut, and olive ;; 171413|Öl, Olivenöl, Salat oder zum Kochen|Oil, olive, salad or cooking ;; 171443|Mayonnaise, fettreduziert, mit Olivenöl|Mayonnaise, reduced fat, with olive oil ;; 2585528|NATIVES OLIVENÖL EXTRA ""SIZZLE"" SPEISEÖL|""SIZZLE"" EXTRA VIRGIN OLIVE OIL COOKING OIL"
261;Pak Choi, Pak Choy, Pok Choi;0;Gemüse;SIGHI_FoodList_2024-08-29_p11_r55;"170390|Kohl, chinesisch (pak-choi), roh|Cabbage, chinese (pak-choi), raw ;; 168517|Kohl, chinesisch (pak-choi), gekocht, abgetropft, mit Salz|Cabbage, chinese (pak-choi), cooked, boiled, drained, with salt ;; 170391|Kohl, chinesisch (Pak-Choi), gekocht, abgetropft, ohne Salz|Cabbage, chinese (pak-choi), cooked, boiled, drained, without salt ;; 2544593|'ONO POKE BOWL|'ONO POKE BOWL ;; 2685572|Kohl, Bok Choy, roh|Cabbage, bok choy, raw"
262;Paprika, Peperoni, milde Sorten;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r13;"171329|Gewürze, Paprika|Spices, paprika ;; 1629429|(MILDE) SAUCE, MILD|(MILD) SAUCE, MILD ;; 169394|Paprika, Banane, roh|Pepper, banana, raw ;; 169395|Paprika, Serrano, roh|Peppers, serrano, raw ;; 168576|Paprika, Jalapeno, roh|Peppers, jalapeno, raw"
263;Paprika, Peperoni, scharfe Sorten;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r14;"171329|Gewürze, Paprika|Spices, paprika ;; 169394|Paprika, Banane, roh|Pepper, banana, raw ;; 169395|Paprika, Serrano, roh|Peppers, serrano, raw ;; 168576|Paprika, Jalapeno, roh|Peppers, jalapeno, raw ;; 170108|Paprika, süß, rot, roh|Peppers, sweet, red, raw"
264;Paradeiser, Tomaten;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r15;"170461|Tomatenpulver|Tomato powder ;; 171424|Öl, Tomatensaft|Oil, tomatoseed ;; 170456|Tomaten, grün, roh|Tomatoes, green, raw ;; 170096|Tomaten, gelb, roh|Tomatoes, yellow, raw ;; 170502|Tomaten, orange, roh|Tomatoes, orange, raw"
265;Pastinaken;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r16;"2747659|Pastinaken, roh|Parsnips, raw ;; 170417|Pastinaken, roh|Parsnips, raw ;; 170508|Pastinaken, gekocht, gekocht, abgetropft, mit Salz|Parsnips, cooked, boiled, drained, with salt ;; 170009|Pastinaken, gekocht, gekocht, abgetropft, ohne Salz|Parsnips, cooked, boiled, drained, without salt"
266;Peperoni, Paprika, milde Sorten;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r17;"171329|Gewürze, Paprika|Spices, paprika ;; 1629429|(MILDE) SAUCE, MILD|(MILD) SAUCE, MILD ;; 169394|Paprika, Banane, roh|Pepper, banana, raw ;; 169395|Paprika, Serrano, roh|Peppers, serrano, raw ;; 168576|Paprika, Jalapeno, roh|Peppers, jalapeno, raw"
267;Peperoni, Paprika, scharfe Sorten;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r18;"171329|Gewürze, Paprika|Spices, paprika ;; 169394|Paprika, Banane, roh|Pepper, banana, raw ;; 169395|Paprika, Serrano, roh|Peppers, serrano, raw ;; 168576|Paprika, Jalapeno, roh|Peppers, jalapeno, raw ;; 170108|Paprika, süß, rot, roh|Peppers, sweet, red, raw"
268;Porree;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r19;
269;Räbe;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r20;
270;Radieschen und Rettiche (Gattung Raphanus), milde;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r21;"169276|Radieschen, roh|Radishes, raw ;; 1629429|(MILDE) SAUCE, MILD|(MILD) SAUCE, MILD ;; 2747665|Radieschen, rot, roh|Radishes, red, raw ;; 170095|Radieschensamen, gekeimt, roh|Radish seeds, sprouted, raw ;; 168451|Radieschen, orientalisch, roh|Radishes, oriental, raw"
271;Radieschen und Rettiche (Gattung Raphanus), scharfe;1;Gemüse;SIGHI_FoodList_2024-08-29_p12_r23;"169276|Radieschen, roh|Radishes, raw ;; 2747665|Radieschen, rot, roh|Radishes, red, raw ;; 2569535|SCHARFE HÄHNCHENFLÜGELSAUCE|HOT CHICKEN WING SAUCE ;; 170095|Radieschensamen, gekeimt, roh|Radish seeds, sprouted, raw ;; 168451|Radieschen, orientalisch, roh|Radishes, oriental, raw"
272;Randen;0;Gemüse;SIGHI_FoodList_2024-08-29_p12_r25;
273;Rauke, Rucola;2;Gemüse;SIGHI_FoodList_2024-08-29_p12_r26;"169387|Rucola, roh|Arugula, raw ;; 2710822|Rucola, Baby, roh|Arugula, baby, raw ;; 2608848|(GRÜN) HAUS-CAESAR-SALAT MIT KNACKIGEN GRÜNEN BLÄTTERN, RÖMERSALAT UND RUCOLA, GERIEBENEM SCHARFEN PARMESANKÄSE UND KNUSPRIGEN KNOBLAUCH-PARMESAN-CROUTONS|(GREEN) HOUSE CAESAR CRUNCHY GREEN LEAF, ROMAINE LETTUCE AND ARUGULA, SHREDDED SHARP PARMESAN CHEESE, AND CRISPY GARLIC PARMESAN CROUTONS SALAD KIT"
